DU	area		ponded	non-ponded
4_NA	1115.60		80	10
4_PA1	687.02		80	10
7N_NA	1467.97		20	10
7N_PA	6882.23		20	10
7S_NA	107.58		20	10
7S_PA	2152.79		20	10
8N_NA	5364.93		15	10
8N_SA1	27075.30		65	10
8N_SA2	58315.36		50	10
8N_PA	3393.18		25	10
8N_PR1	30.38		80	10
8N_PR2	23.52		80	10
8S_NA1	4941.63		65	10
8S_SA1	9881.96		40	10
8S_PA	16504.52		40	10
8S_PR	28.04		40	10
8S_SA2	41420.41		40	10
8S_SA3	29068.95		40	10
9_NA	7426.53		10	10
9_SA2	16692.07		75	10
9_SA1	1191.57		90	10
9_PR	3201.87		80	10
11_PR	9.94		80	10
10_NA	8973.27		60	10
11_NA	3412.71		60	10
11_SA1	43910.46		60	10
11_SA2	68197.29		40	10
12_NA	2582.19		25	10
12_SA	713.17		25	10
14_NA	3062.38		60	10
15N_NA1	306.09		60	10
15N_NA2	18027.81		60	10
15N_SA	48.91		60	10
15S_NA1	848.40		60	10
15S_NA2	14171.97		60	10
15S_SA	1005.73		60	10
16_NA1	2015.91		60	10
16_PA	99.29		60	10
16_SA	2506.49		60	10
17N_NA	2673.17		20	10
17N_NR	125.58		20	10
17N_PR	40.42		20	10
17S_NA	3629.94		20	10
17S_PR	722.91		20	10
17S_SA	2174.02		20	10
18_NA	2939.72		20	10
18_SA	5653.82		10	10
19_SA	15079.04		10	10
19_NA	23.97		10	10
20_NA1	3061.70		20	10
20_PA	10.66		20	10
21_NA	281.20		10	10
21_SA	8188.88		10	10
21_PA	957.56		10	10
22_NA	942.97		20	10
22_SA1	21386.61		10	10
22_SA2	483.68		10	10
23_NA	30611.94		10	10
24_NA1	170.65		20	10
24_NA3	7347.35		20	10
26N_NA	790.15		20	10
60N_NA5	167.00		20	10
60S_NA1	344.00		20	10
60S_PA2	2621.00		20	10
61_NA1	46.00		20	10
61_NA2	893.00		20	10
61_PA1	3795.00		20	10
61_PA2	735.00		20	10
63_NA3	3270.00		20	10
63_NA4	230.00		20	10
64_XA	300.00		20	10
72_NA	1.00		20	10
72_XA1	3984.00		20	10
73_PA2	1013.00		20	10
73_XA	439.00		20	10
