Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1921  10	1.094476987	0.852645994	0.697081458	0.929494645	0.739843038	0.564204647	0.539787258	0.515832571	0.98101467	0.705189726	0.756177219	0.494078513	0.920211044	0.159480748	0.7586797	0.716764232	0.545487109	0.749275081	0.136214345	0.832580728	0.789875151	0.946399636	0.67961636	0.917331281	0.714329582	0.213422661	0.174315208	0.331506326	0.009604316	0.005956715	0.000148669	1.318335547	0.56651908	0.085860435	0.079943202	0.707392958	0.813226633	0.840681604	0.787855353	0.907727364	0.101427094
1921  11	3.066815724	2.40684702	2.620601649	3.420423014	3.026630611	2.308109919	2.2082206	2.110224153	1.088797594	1.602837979	1.412027579	1.887731541	1.362967321	2.413019387	1.068340541	1.233171647	1.929613766	2.294885406	2.237393666	1.134391242	1.077693481	1.328379774	1.469367204	2.401596306	1.467271574	0.848295262	0.936328768	1.411951435	1.079990577	0.719145043	0.220867857	1.445916406	1.122082767	0.39091315	0.303390022	1.37679383	1.388286183	1.359777412	1.155738372	1.583295932	0.130761027
1921  12	7.330715653	6.741092811	7.593145498	9.800897162	9.133698601	6.965362821	6.663919057	6.368187556	5.946139102	5.904897912	5.790790702	5.725220495	10.98931122	5.325822971	3.683893692	4.126692896	5.895160293	7.109192826	4.883365197	3.965165717	3.766102777	11.3962156	6.331231454	6.751515726	4.218405774	3.161391551	3.399253476	5.327070019	5.35487892	5.428821148	3.43807919	3.327734082	4.180980352	4.581794872	4.094584993	4.191023837	5.877217888	5.162602521	5.351389843	5.718479884	3.328050402
1922  01	2.964208506	2.498871394	2.584963467	3.369611792	2.999727228	2.287593386	2.188591973	2.091466605	2.117626386	2.064308796	1.99657131	1.938501959	1.0723576	2.232899087	2.07711623	2.062645272	2.061808946	2.655531576	2.217208228	2.247967966	2.137929764	1.00255142	1.399794187	2.310891209	1.312821934	2.564627306	2.071942454	1.541004235	1.888179747	2.914870022	2.778907953	1.679814648	1.332709454	0.910201735	0.864878192	1.327218633	2.158421266	1.838621319	1.908177376	2.146471876	2.115143082
1922  02	7.216707633	5.881691318	5.823447961	7.629131029	6.631683962	5.057325288	4.838456693	4.623735589	5.000925505	4.647716586	4.597560559	4.249497063	5.717802541	5.632840819	4.039502604	4.096675557	4.475832427	5.660673993	5.274196714	4.350234304	4.132916479	5.848059823	4.377321871	6.004606493	4.459733335	4.606374963	3.530034274	3.380955488	3.245371824	3.893478938	2.874324004	3.742371875	3.130502421	2.796433163	2.542402323	4.323317457	5.19089583	4.719593955	4.504125556	5.136384956	2.204934845
1922  03	2.291561192	2.154550162	2.964296897	3.785954458	3.699215192	2.821023234	2.698936289	2.579162854	0.610305669	1.676466983	1.311586704	2.300847535	3.309284618	1.116531176	1.237590892	1.474343805	2.352576463	2.789958821	1.173609355	1.342536424	1.27727713	3.596808971	0.910761328	1.710520449	0.492308225	1.326461319	1.6156587	2.259162196	2.151727275	2.617634998	1.98311379	2.732356738	1.982649092	0.979214044	0.871240591	0.483609358	0.719858801	0.756256463	0.756879183	1.06545092	1.467177524
1922  04	0.399028068	0.416446474	0.583146928	0.741133911	0.739843038	0.564204647	0.539787258	0.515832571	0.215373635	0.38105899	0.315967857	0.468748035	0.797973063	0.052683965	0.37912377	0.405402261	0.490157355	0.608106582	0.081556581	0.416290364	0.395631617	0.871981589	0.212595715	0.319179331	0.164102742	0.703274547	0.446266463	0.290003888	0.305331477	0.822438957	0.433540877	1.073805566	0.545705099	0.471595412	0.443143534	0.161825984	0.180703074	0.208200987	0.209765801	0.248628449	0.406320503
1922  05	1.276889818	0.976556352	1.122357481	1.46232691	1.304814086	0.995051832	0.951988437	0.909741079	0.191475679	0.580416559	0.448950894	0.811194308	1.916894242	0.971427901	0.421941788	0.500566994	0.826357255	0.975265118	0.888618773	0.447512141	0.424554292	2.0935258	0.537687938	0.969448583	0.463348918	0.513061765	0.439095223	0.747112334	0.73566366	1.100539118	1.477134448	1.158859473	0.74970233	0.420378567	0.416648242	0.422415377	0.361829589	0.392880373	0.28609333	0.507757737	0.747840227
1922  06	0	0.006856099	0	0	0	0	0	0	0.047852565	0.018579308	0.027513085	0	0.674863063	0.002310407	0	0	0	0	0	0	0	0.765822524	0.006999338	0.002456547	0	0.045097621	0.087484473	0.234725233	0.041245024	0.10760776	0.022864583	0.956856445	0.395970584	0.002405757	0.000641559	0.003981031	0.038547572	0.02476494	0.03594766	0.027678202	1.109189417
1922  07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076173739	0.260556572	0.002437238	0	0	1.063173828	0.439967315	0	0	0	0	0	0	0	0
