Lookup table for operations and Re-use water ratio
Month   Growing_Season_Ops   Ponded_Ops   Runoff_Reuse_Ratio  Return_Reuse_Ratio  
 1        0                    1				0.15			0.40
 2        0                    0.5				0.15    		0
 3        0                    0				0.15			0
 4        0                    0				0.15			0
 5        1                    0				0.15			0.65
 6        1                    0				0.15			0.65
 7        1                    0				0.15			0.65
 8        1                    0				0.15			0.65
 9        0.67                 0				0.15			0
10        0                    1				0.15			0.20
11        0                    1				0.15			0.40
12        0                    1				0.15			0.40
