Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1921  10	1.0945	0.8526	0.6971	0.9295	0.7398	0.5642	0.5398	0.5158	0.9810	0.7052	0.7562	0.4941	0.9202	0.1595	0.7587	0.7168	0.5455	0.7493	0.1362	0.8326	0.7899	0.9464	0.6796	0.9173	0.7143	0.2134	0.1743	0.3315	0.0096	0.0060	0.0001	1.3183	0.5665	0.0859	0.0799	0.7074	0.8132	0.8407	0.7879	0.9077	0.1014
1921  11	3.0668	2.4068	2.6206	3.4204	3.0266	2.3081	2.2082	2.1102	1.0888	1.6028	1.4120	1.8877	1.3630	2.4130	1.0683	1.2332	1.9296	2.2949	2.2374	1.1344	1.0777	1.3284	1.4694	2.4016	1.4673	0.8483	0.9363	1.4120	1.0800	0.7191	0.2209	1.4459	1.1221	0.3909	0.3034	1.3768	1.3883	1.3598	1.1557	1.5833	0.1308
1921  12	7.3307	6.7411	7.5931	9.8009	9.1337	6.9654	6.6639	6.3682	5.9461	5.9049	5.7908	5.7252	10.9893	5.3258	3.6839	4.1267	5.8952	7.1092	4.8834	3.9652	3.7661	11.3962	6.3312	6.7515	4.2184	3.1614	3.3993	5.3271	5.3549	5.4288	3.4381	3.3277	4.1810	4.5818	4.0946	4.1910	5.8772	5.1626	5.3514	5.7185	3.3281
1922  01	2.9642	2.4989	2.5850	3.3696	2.9997	2.2876	2.1886	2.0915	2.1176	2.0643	1.9966	1.9385	1.0724	2.2329	2.0771	2.0626	2.0618	2.6555	2.2172	2.2480	2.1379	1.0026	1.3998	2.3109	1.3128	2.5646	2.0719	1.5410	1.8882	2.9149	2.7789	1.6798	1.3327	0.9102	0.8649	1.3272	2.1584	1.8386	1.9082	2.1465	2.1151
1922  02	7.2167	5.8817	5.8234	7.6291	6.6317	5.0573	4.8385	4.6237	5.0009	4.6477	4.5976	4.2495	5.7178	5.6328	4.0395	4.0967	4.4758	5.6607	5.2742	4.3502	4.1329	5.8481	4.3773	6.0046	4.4597	4.6064	3.5300	3.3810	3.2454	3.8935	2.8743	3.7424	3.1305	2.7964	2.5424	4.3233	5.1909	4.7196	4.5041	5.1364	2.2049
1922  03	2.2916	2.1546	2.9643	3.7860	3.6992	2.8210	2.6989	2.5792	0.6103	1.6765	1.3116	2.3008	3.3093	1.1165	1.2376	1.4743	2.3526	2.7900	1.1736	1.3425	1.2773	3.5968	0.9108	1.7105	0.4923	1.3265	1.6157	2.2592	2.1517	2.6176	1.9831	2.7324	1.9826	0.9792	0.8712	0.4836	0.7199	0.7563	0.7569	1.0655	1.4672
1922  04	0.3990	0.4164	0.5831	0.7411	0.7398	0.5642	0.5398	0.5158	0.2154	0.3811	0.3160	0.4687	0.7980	0.0527	0.3791	0.4054	0.4902	0.6081	0.0816	0.4163	0.3956	0.8720	0.2126	0.3192	0.1641	0.7033	0.4463	0.2900	0.3053	0.8224	0.4335	1.0738	0.5457	0.4716	0.4431	0.1618	0.1807	0.2082	0.2098	0.2486	0.4063
1922  05	1.2769	0.9766	1.1224	1.4623	1.3048	0.9951	0.9520	0.9097	0.1915	0.5804	0.4490	0.8112	1.9169	0.9714	0.4219	0.5006	0.8264	0.9753	0.8886	0.4475	0.4246	2.0935	0.5377	0.9694	0.4633	0.5131	0.4391	0.7471	0.7357	1.1005	1.4771	1.1589	0.7497	0.4204	0.4166	0.4224	0.3618	0.3929	0.2861	0.5078	0.7478
1922  06	0.0000	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0479	0.0186	0.0275	0.0000	0.6749	0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7658	0.0070	0.0025	0.0000	0.0451	0.0875	0.2347	0.0412	0.1076	0.0229	0.9569	0.3960	0.0024	0.0006	0.0040	0.0385	0.0248	0.0359	0.0277	1.1092
1922  07	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0762	0.2606	0.0024	0.0000	0.0000	1.0632	0.4400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1922  08	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0734	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0374	0.2100	0.0737	0.0000	0.0000	0.0655	0.2241	0.0021	0.0000	0.0000	0.9143	0.3784	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3617
1922  09	0.0000	0.0429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2991	0.1161	0.1720	0.0000	0.0000	0.0144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0823	0.2814	0.0026	0.0020	0.0000	1.1482	0.4809	0.0285	0.0266	0.0249	0.2409	0.1548	0.2247	0.1730	0.0061
1922  10	2.9414	2.1637	1.9128	2.5462	2.0447	1.5593	1.4918	1.4256	1.6391	1.4325	1.4734	1.2747	3.5121	1.8850	0.7096	0.8203	1.3013	1.5446	1.7040	0.7493	0.7120	3.3877	3.3710	3.0083	1.9499	0.8014	0.7514	1.0120	0.7283	0.5097	0.2956	1.2864	0.8375	0.0649	0.0256	1.8445	1.7178	1.7509	1.4730	1.8626	0.1275
1922  11	4.7997	4.1413	3.7518	4.9257	4.2373	3.2314	3.0915	2.9543	5.2520	3.7923	4.1201	2.7387	3.0056	4.1072	2.9273	2.8972	2.9095	3.7436	3.6992	3.1534	2.9939	2.8733	3.7468	4.3192	4.0350	1.9436	1.6288	2.0231	1.8112	2.1539	2.1760	2.5941	1.9166	1.3539	1.2585	3.9703	5.0670	4.4092	4.4476	4.5301	0.8767
